CUST_GROUP,CUST_NAME,COUNTRY_NAME,SALES_REP,TEAM,FOCUS
YANGJIANG YANGDONG JIANGLIAN,YANGJIANG YANGDONG JIANGLIAN,CHINA,Haibin Y.,China/Japan,false
YANGZHOU PERFECT COMMODITY LTD,YANGZHOU PERFECT COMMODITY LTD,CHINA,Haibin Y.,China/Japan,false
"Yantai Baofuling Biotechnology Co.,Ltd","Yantai Baofuling Biotechnology Co.,Ltd",CHINA,Haibin Y.,China/Japan,false
YANZHUO(SHANGHAI)SUPPLY CHAIN,YANZHUO(SHANGHAI)SUPPLY CHAIN,CHINA,Haibin Y.,China/Japan,false
YONGTAI CHEMICAL,YONGTAI CHEMICAL,CHINA,Haibin Y.,China/Japan,false
"Yoniso Chemicals Co., Ltd.","Yoniso Chemicals Co., Ltd.",THAILAND,Kanda W.,SEA,true
YOUNG PHARMACEUTICALS,YOUNG PHARMACEUTICALS,UNITED STATES OF AMERICA,Danielle J.,Americas,false
YU LIU,"EATERY CO., LTD",CHINA,Jessie H.,China/Japan,true
"YUNNAN CHANGYI TEC. CO., LTD","YUNNAN CHANGYI TEC. CO., LTD",CHINA,Haibin Y.,China/Japan,false
YUNNAN MILI NATURAL FLAVOR CO.,YUNNAN MILI NATURAL FLAVOR CO.,CHINA,Haibin Y.,China/Japan,false
"Yunnan Mingjiashi Trading Co.,","Yunnan Mingjiashi Trading Co.,",CHINA,Haibin Y.,China/Japan,false
"Yunnan Ruci Biotechnology Co.,Ltd","Yunnan Ruci Biotechnology Co.,Ltd",CHINA,Haibin Y.,China/Japan,false
"YUNNAN SHANJI SPICES CO.,LTD","YUNNAN SHANJI SPICES CO.,LTD",CHINA,Haibin Y.,China/Japan,false
"YUNNAN SIMOTE BIOTECH CO.,LTD","YUNNAN SIMOTE BIOTECH CO.,LTD",CHINA,Haibin Y.,China/Japan,false
"YUNNAN YANGRUI TECH CO.,LTD.","YUNNAN YANGRUI TECH CO.,LTD.",CHINA,Haibin Y.,China/Japan,false
YUNQIU TECHNOLOGY DEVELOPMENT,YUNQIU TECHNOLOGY DEVELOPMENT,CHINA,Haibin Y.,China/Japan,false
"Zarbees, Inc","Zarbees, Inc",UNITED STATES OF AMERICA,Danielle J.,Americas,false
Zeste Brands Pte Ltd,Zeste Brands Pte Ltd,TAIWAN,Kanda W.,SEA,false
"ZFTZ HONGYUFENG BIOTECH CO.,LT","ZFTZ HONGYUFENG BIOTECH CO.,LT",CHINA,Jessie H.,China/Japan,false
ZFTZ QINGYUTIAN CHEMISTRY SCI-,ZFTZ QINGYUTIAN CHEMISTRY SCI-,CHINA,Haibin Y.,China/Japan,false
"ZHANGSHENG CHEMICALS,CO.,LTD","ZHANGSHENG CHEMICALS,CO.,LTD",CHINA,Haibin Y.,China/Japan,false
"Zhangzhou Yilin Food Co.,Ltd","Zhangzhou Yilin Food Co.,Ltd",CHINA,Haibin Y.,China/Japan,false
Zhao Jianquan,Zhao Jianquan,CHINA,Haibin Y.,China/Japan,false
ZHENGZHOU CHANGSHUO,ZHENGZHOU CHANGSHUO,CHINA,Haibin Y.,China/Japan,false
ZHENGZHOU JIAFU BIOTECH CO.LTD,ZHENGZHOU JIAFU BIOTECH CO.LTD,CHINA,Haibin Y.,China/Japan,false
