database,group_name,group_description,group_stageDimName,group_financeDimName,group_accessGroup,name,type,description,outputValue,flipSign,ruleExpression
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-31101-,TransformOneToOne,CAPITAL CUMULATION F,3101000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-31301-,TransformOneToOne,Retained Earnings,3500000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-31501-,TransformOneToOne,Statutory Surplus Re,3500000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-32201-,TransformOneToOne,UNDISTRIBUTE PROFIT,3500000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-40101-,TransformOneToOne,SALES-LIC/AG/DGLE,4000010,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-40102-,TransformOneToOne,SALES-MAG,4000010,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-40103-,TransformOneToOne,SALES - OTHER,4000010,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-40104-,TransformOneToOne,SALES-JV INTERCO,4800000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-40104-0022,TransformOneToOne,SALES-JV INTERCO - SMB,4800000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-40104-0023,TransformOneToOne,SALES-JV INTERCO - WF,4800000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-40106-,TransformOneToOne,SALES-SAMPLES,4005990,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-40107-,TransformOneToOne,SALES-MAF INTERCO,4800000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-40108-,TransformOneToOne,Sales - Other JV,4800000,true,
